date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15101,0.27,0.58,1.97,0.68,,Foil
2026-06-29,1,1,15102,0.42,0.8,5.99,0.55,,Normal
2026-06-29,1,1,15102,5.99,7.91,25.0,7.86,,Foil
2026-06-29,1,1,15103,32.0,39.99,199.75,33.13,39.99,Normal
2026-06-29,1,1,15103,49.99,63.99,199.97,43.25,,Foil
2026-06-29,1,1,15104,0.48,0.8,3.0,0.8,,Normal
2026-06-29,1,1,15104,3.18,5.07,9.99,3.62,,Foil
2026-06-29,1,1,15105,0.01,0.27,2.16,0.24,,Normal
2026-06-29,1,1,15105,1.61,2.99,6.53,1.66,2.06,Foil
2026-06-29,1,1,15106,2.99,4.0,39.99,3.81,,Normal
2026-06-29,1,1,15106,17.0,22.5,33.6,25.2,,Foil
2026-06-29,1,1,15107,0.01,0.25,3.0,0.08,,Normal
2026-06-29,1,1,15107,0.25,0.48,19.99,0.42,0.41,Foil
2026-06-29,1,1,15108,0.04,0.25,1.79,0.15,,Normal
2026-06-29,1,1,15108,0.39,0.58,1.7,0.53,,Foil
2026-06-29,1,1,15109,0.01,0.25,999.0,0.11,,Normal
2026-06-29,1,1,15109,0.24,0.49,1.18,0.49,,Foil
2026-06-29,1,1,15110,0.01,0.25,1.99,0.06,,Normal
2026-06-29,1,1,15110,0.2,0.48,4.0,,,Foil
2026-06-29,1,1,15111,0.03,0.28,2.0,0.08,,Normal
2026-06-29,1,1,15111,0.29,0.49,2.25,0.3,,Foil
2026-06-29,1,1,15112,0.07,0.28,4.1,0.24,,Normal
2026-06-29,1,1,15112,0.39,0.46,1.0,,,Foil
2026-06-29,1,1,15113,0.02,0.25,4.99,0.13,0.08,Normal
2026-06-29,1,1,15113,0.25,0.5,1.0,0.52,,Foil
2026-06-29,1,1,15114,14.18,19.99,32.23,17.77,,Normal
2026-06-29,1,1,15114,28.41,30.88,33.35,54.1,,Foil
2026-06-29,1,1,15115,2.25,3.58,10.0,3.63,3.94,Normal
2026-06-29,1,1,15115,19.63,23.51,53.82,32.0,,Foil
2026-06-29,1,1,15116,0.04,0.25,1.79,0.15,,Normal
2026-06-29,1,1,15116,0.4,0.56,3.48,0.52,,Foil
2026-06-29,1,1,15117,0.01,0.2,2.74,0.13,,Normal
2026-06-29,1,1,15117,0.25,0.38,1.06,0.31,0.27,Foil
2026-06-29,1,1,15118,0.41,1.12,19.98,1.14,0.78,Normal
2026-06-29,1,1,15118,7.71,13.89,25.5,13.69,,Foil
2026-06-29,1,1,15119,0.45,0.79,4.99,0.69,,Normal
2026-06-29,1,1,15119,3.16,4.76,39.64,3.63,,Foil
2026-06-29,1,1,15120,0.05,0.25,20.0,0.13,,Normal
2026-06-29,1,1,15120,0.35,0.58,18.8,0.48,13.58,Foil
2026-06-29,1,1,15121,0.1,0.3,1.64,0.15,,Normal
2026-06-29,1,1,15121,0.42,1.82,3.5,0.45,,Foil
2026-06-29,1,1,15122,0.02,0.25,1.54,0.23,0.1,Normal
2026-06-29,1,1,15122,0.4,0.75,1.32,0.59,0.88,Foil
2026-06-29,1,1,15123,3.75,5.5,14.29,3.81,,Normal
2026-06-29,1,1,15123,11.24,11.8,14.99,12.0,,Foil
2026-06-29,1,1,15124,0.01,0.25,999.0,0.08,,Normal
2026-06-29,1,1,15124,0.2,0.5,2.01,0.69,,Foil
2026-06-29,1,1,15125,0.07,0.25,4.99,0.23,,Normal
